Code postal,departement,dep_nom,Nom de la structure,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo
44110,44,Loire-Atlantique,Maison de l'Emploi du Pays de Châteaubriant,16 Rue Gabriel de la Tour 44110 Châteaubriant,02 28 04 06 33,https://www.cc-chateaubriant-derval.fr,Directrice Christine GALISSON,mailto:cc-chateaubriant-derval.fr,"Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",Sans emplois / résidents CC Châteaubriant,CondP,Sans emploi,De,,,
44110,44,Loire-Atlantique,Pôle emploi Châteaubriant,10 Rue d'Ancenis 44110 Châteaubriant,39 46,https://www.pole-emploi.fr/annuaire/chateaubriant-44036,,,"Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",Gratuit,G,,,,,
44117,44,Loire-Atlantique,Bibliothèque de saint-André-des-Eaux,Rue des Guifettes 44117 Saint-André-des-Eaux,0251106264,http://bibliotheque.saint-andre-des-eaux.fr,A côté du terrain de football,,"Prise en main du matériel
Prise en main des logiciels de base
Premiers pas sur internet
Démarches administratives en ligne
Approfondissement logiciels
Approfondissement internet
Culture numérique
Conseils","PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu
Co","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44119,44,Loire-Atlantique,Solidarité Emploi ,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,,http://solidarite-emploi44.fr/index.php,,,"Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",,,,,,,
44119,44,Loire-Atlantique,Maison de l'emploi Grandchamp-des-fontaines,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,0251121094,http://www.cceg.fr/annuaire-des-structures-192/maison-de-l-emploi-et-de-la-formation-grandchamp-des-fontaines-85.html?cHash=f1888d85829b12fa37a18e7e73806223,,,Lieu de formation lié l'emploi.,DeAd,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44119,44,Loire-Atlantique,Médiathèque de Grandchamp des fontaines,Rue de Curette 44119 Grandchamps-des-Fontaines,0249623970,http://www.grandchampdesfontaines.fr/culture-sports-loisirs/culture/mediatheque-victor-hugo-2057.html,,,Espace documentaire et point d'accès numérique.,LeAc,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Gratuit,G,,,,,
44119,44,Loire-Atlantique,CCAS Grandchamp des fontaines,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,0240771326,http://www.grandchampdesfontaines.fr/mairie/services-municipaux-1999/ccas-301.html?cHash=f7a91b93291d711ac66f686a531a2273,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",Gratuit,G,,,,,
44120,44,Loire-Atlantique,Service Jeunesse,15 Rue Aristide Briand 44120 Vertou,,,,,,,,,,,,,,,
44130,44,Loire-Atlantique,Centre Socioculturel Tempo,7 Rue du 11 Novembre 44130 Blain,,http://csctempo.fr/?lang=fr,,,Lieu de rencontre et de partage autour de jeu et de la convivialité,LeAc,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Gratuit,G,,,,,
44130,44,Loire-Atlantique,Médiathèque de Fay de bretagne,2 Rue Georges Sicard 44130 Fay-de-Bretagne,240873365,http://www.faydebretagne.fr/jsp/site/Portal.jsp?page_id=120,Espace de lecture et point d'accès numérique.,,,,,,,,,,,,
44130,44,Loire-Atlantique,"Bibliothèque municipale ""Le Pot a Mots""",6 place Notre-Dame du Châtellier 44310 Saint-Lumine-de-Coutais,240029456,https://www.mobilis-paysdelaloire.fr/annuaire/bibliotheques/bibliotheque-pot-a-mots-saint-lumine-de-coutais,,,,,,,,,,,,,
44130,44,Loire-Atlantique,Maison de l'emploi Blain,7 Rue Victor Schoelcher 44130 Blain,240799901,https://www.pays-de-blain.com/economie-emploi/emploi-et-formation/,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44140,44,Loire-Atlantique,Point Relais Emploi,Rue de la Mairie 44140 Montbert,,,,,,,,,,,,,,,
44150,44,Loire-Atlantique,Bibliothèque Marcel Rouvreau,Port Arthur (Anetz) 44150 Vair-sur-Loire,240833195,http://bibliofil.pays-ancenis.fr/,Accès à un point numérique.,,,,,,gratuit,G,,,,,
44150,44,Loire-Atlantique,Médiathèque Ancenis,Place de la République 44150 Ancenis,,http://bibliofil.pays-ancenis.fr/,,,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",,,,,,,
44150,44,Loire-Atlantique,Relais CAF,20 Rue émile Gabory 44330 Vallet,228039089,http://www.caf.fr/,,,,,,,gratuit,G,,,,,
44150,44,Loire-Atlantique,Maison de l'Etat,Rue du Docteur Bousseau 44150 Ancenis,240830850,http://www.loire-atlantique.gouv.fr/Services-de-l-Etat/Prefecture-et-sous-prefectures/Sous-prefecture-de-Chateaubriant-Ancenis,,,"
Démarches administratives en ligne
Conseils","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44150,44,Loire-Atlantique,Mission locale d'Ancenis,30 Place Francis Robert 44150 Ancenis,02 40 96 44 30,http://www.missionlocalepaysancenis.fr/,,accueil@mlpaysancenis.fr,"
Démarches administratives en ligne
Conseils","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",jeunes 16/25 ans / réside dans le pays d’Ancenis,CondP,jeunes 16/25 ans,J,,,
44150,44,Loire-Atlantique,Point Info Mobile,19 Rue Général Leclerc 44510 Le Pouliguen,240423105,http://www.tourisme-lepouliguen.fr/wifi-au-pouliguen.html,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",Gratuit,G,,,,,
44150,44,Loire-Atlantique,Le Fablab Pays d’Ancenis,5 Place Armand de Béthune 44150 Ancenis,,https://fablabancenis.wordpress.com/,,,,,,,,,Jeunes-Adultes-Personnes âgées-Famille/enfant,Tp,,,
44150,44,Loire-Atlantique,Mairie d'Ancenis,Place du Maréchal Foch 44150 Ancenis,240838700,https://www.ancenis.fr,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44150,44,Loire-Atlantique,Pôle emploi Ancenis,336 Rue de Chateaubriand 44150 Ancenis,3949,https://www.pole-emploi.fr/accueil/,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44150,44,Loire-Atlantique,Point relais emploi de Vallet,1 Place Charles de Gaulle 44330 Vallet,251719212,,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44160,44,Loire-Atlantique,Médiathèque Georges Sand,25 Rue de la Mairie 44160 Besné,240617635,http://mediatheque.besne.fr,,,"Médiathèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Gratuit,G,,,,,
44160,44,Loire-Atlantique,Médiathèque de Crossac,Impasse des Petits Matelots 44160 Crossac,240010608,http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-crossac-2,,,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44160,44,Loire-Atlantique,Médiathèque de Pont-château,3 Rue du Chène Vert 44160 Pontchâteau,240016117,http://www.cc-paysdepontchateau.fr/contacts/mediatheque-de-pont-chateau,,,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Gratuit,G,,,,,
44160,44,Loire-Atlantique,Bibliothèque,2 Rue du Mortier Plat 44160 Sainte-Anne-sur-Brivet,240918488,http://www.sainte-anne-sur-brivet.fr/bibliotheque,,,Bibliothèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44160,44,Loire-Atlantique,Service emploi de Pontchâteau,2 Rue des Châtaigniers 44160 Pontchâteau,02 40 01 66 18,https://www.cc-paysdepontchateau.fr/emploi-orientation/vous-avez-plus-de-26-ans/,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,Un service de proximité pour demandeurs d'emploi,De,,,
44160,44,Loire-Atlantique,Relais CAF,7 Place de l'église 44160 Pontchâteau,0 810 25 44 10,https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-de-communes-du-pays-de-pont-chateau-saint-gildas-des-bois/caf-relais-de-pontchateau-fr-p2_638495,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44160,44,Loire-Atlantique,Bibliothèque de Sainte-Reine-de-Bretagne,7 Rue du Père de Montfort 44160 Sainte-Reine-de-Bretagne,251108648,www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-sainte-reine-de-bretagne-2/,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44170,44,Loire-Atlantique,Cyber-base emploi de Nozay ,9 Rue de l'église 44170 Nozay,,http://annuaire.mediation-numerique.fr/epn_4851.html,,,,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",,,,,,,
44170,44,Loire-Atlantique,CSC lamano de Nozay,Le Patis Jourdeau 44170 Nozay,240793504,http://lamano.centres-sociaux.fr/,,,,,,,adhésion individuelle -18 ans: 8€ adhésion individuelle +18 ans : 10€ adhésion familiale : 15€,CondP,,,,,
44170,44,Loire-Atlantique,Médiathèque de Jans,12 Route de Nozay 44170 Jans,240799515,http://www.biblios-ccsd.net/cms/articleview/id/121,,,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Gratuit,G,,,,,
44170,44,Loire-Atlantique,Bibliothèque d'Abbaretz,8 Rue des écoles 44170 Abbaretz,240872184,http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Tarif -20 ans : gratuit. Tarif + 20 ans : 7.00€. Tarif + 20 ans hors Communauté de Communes de la Région de Nozay :10.00 €,CondP,,,,,
44170,44,Loire-Atlantique,Bibliotheque de Nozay,21 Rue Alexis Letourneau 44170 Nozay,02 40 79 31 65,http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",-20 Ans :gratuit + 20Ans:7€+20 Hors CCRN:10€,CondP,,,,,
44170,44,Loire-Atlantique,Bibliothèque de Tréffieux,2 Place Saint-Grégoire 44170 Treffieux,240874159,http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",tarif -20ans gratuit tarif +20ans:7.00€ tarif+20 hors du CCRN:10 €,CondP,,,,,
44170,44,Loire-Atlantique,Bibliothèque de Vay,5 Rue Principale 44170 Vay,240795646,http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",-20ans:gratuit tarif +20ans:7€ habitant CCRN et 10€ Hors,,,,,,
44170,44,Loire-Atlantique,Médiathèque de Marsac-sur-Don,18 Rue Saint-Martin 44170 Marsac-sur-Don,,https://mediatheques.cc-chateaubriant-derval.fr/accueil/marsac_sur_don,,,"Médiathèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",wifi gratuite,,,,,,
44170,44,Loire-Atlantique,Cybercentre de Nozay,16 Route de Nort Sur Erdre 44170 Nozay,,https://www.cc-nozay.fr/cybercentre/,,,,"LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",Accès libre gratuit,,,,,,
44170,44,Loire-Atlantique,Bibliothèque de la grigonnais,5 Rue de l'Abbé- Merel 44170 La Grigonnais,02 40 87 52 07,https://www.lagrigonnais.fr/Bibliotheque-de-la-Grigonnais-Le,,,"Bibliothèque qui propose l'emprunt ou la lecture sur place de divers 
supports culturels + accompagnement individuel sur demande des personnes","LeAc
PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",inscription pour l’emprunt de livre ou document :10€ pour une famille et 6€ individuellement,,,,,,
44190,44,Loire-Atlantique,Caisse d'Allocations Familiales,2 Rue du Docteur Doussin 44190 Clisson,240540212,http://www.caf.fr/allocataires/caf-de-loire-atlantique/actualites,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,Mission locale du Vignoble Nantais,3 Place Maurice Renoul 44190 Gorges,02 40 36 09 13,http://www.missionlocalevignoblenantais.fr/,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Accompagnements individuels
Autonomie","AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,"CoworKlisson
",1 Route de Saint-Fiacre 44190 Gorges,,https://coworklisson.fr/,,,"Prise en main du matériel
Prise en main des logiciels de base
Premiers pas sur internet
Démarches administratives en ligne
Approfondissement logiciels
Approfondissement internet
Culture numérique
Conseils","PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu
Co","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,Gullivigne,Esplanade de Klettgau 44190 Clisson,,https://gullivigne.org,,,Association d'utilisateurs de logiciels libres  Atelier débutants bureautique,Co,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,La récupérette,4 Rue des Châtaigniers 44190 Clisson,07 81 95 54 13,https://larecuperette.jimdofree.com/,,,Recyclerie,Co,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,Médiathèque Geneviève Couteaux,1 Place Saint-Jacques 44190 Clisson,,https://mediatheque-clisson.net,,,Espace de lecture et documentation offrant un service numérique,LeAc,"Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44190,44,Loire-Atlantique,Pôle Emploi Clisson,7 Allée du Chantre 44190 Clisson,,,,,"
Démarches administratives en ligne
Conseils","DeAd
Co","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44200,44,Loire-Atlantique,Cyber Espace de Nantes (ACCOORD) ,2 Rue Conan Mériadec 44200 Nantes,,https://www.accoord.fr/nc_centre/mq-de-lile/,,,"Prise en main du matériel
Prise en main des logiciels de base
Premiers pas sur internet
Démarches administratives en ligne
Approfondissement logiciels
Approfondissement internet
Culture numérique
Conseils","PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu
Co","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",gratuit,G,,,,,
44200,44,Loire-Atlantique,"Ecole de la deuxième chance
",10 Rue René Viviani 44200 Nantes,,https://www.e2cel.org/,,,,,,,,,,,,,
44210,44,Loire-Atlantique,Cybercentre Pornic,35 Rue Tartifume 44210 Pornic,,http://www.mediatheque-pornic.fr/,,,"Prise en main du matériel
Prise en main des logiciels de base
Premiers pas sur internet
Démarches administratives en ligne
Approfondissement logiciels
Approfondissement internet
Culture numérique
Conseils","PrMa
PrLo
PrIn
DeAd
ApLo
ApIn
CuNu
Co","Initiations
Formation individuelles
Formations collectives
Accompagnements collectifs
Accompagnements individuels
Autonomie","FoCo
FoIn
In
AcCo
AcIn
Au",il faut être abonné à la médiathèque et rêgler sur place si ateliers payants.,CondP,,,,,
