conum_id,Code postal,departement,dep_nom,Nom de la structure,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo,lat,lon,result_label
conum_11_,44100,44,Loire-Atlantique,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,02 40 87 21 84,https://www.me-metropole-nantaise.org/ou-nous-trouver/,NR,https://www.me-metropole-nantaise.org/contact/,NR,NR,,,NR,NR,NR,NR,NR,,,47.223083,-1.596759,8 Rue Henri Matisse 44100 Nantes
conum_12_,44100,44,Loire-Atlantique,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,02 40 87 52 07,https://bm.nantes.fr/home/pratique/adresses-et-horaires/mediatheque-lisa-bresner.html,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,13/01/2021,,47.209868,-1.602584,23 Boulevard Emile Romanet 44100 Nantes
conum_13_,44100,44,Loire Atlantique,PiNG,38 rue du Breil,02 40 79 31 65,https://www.pingbase.net/,,info@pingbase.net,Approfondissement logicielsApprofondissement internetCulture numériqueCulture FabLab,ApIn-ApLo-CuNu-CuFa,Formations collectivesInitiationsAutonomie,FoCo-Au-In,Gratuit    Payant,G-P,Enfants / JeunesAdultes / Familles,e-J-F-A,Oui,,https://info.pingbase.net/wp-content/uploads/2018/12/LogoPiNGplus.png,47.229028,-1.584999,38 Rue du Breil 44100 Nantes
conum_14_,44100,44,Loire-Atlantique,Regart's association,5 Rue du Gers 44100 Nantes,02 40 87 41 59,https://www.associationregartsnantes.org/,NR,NR,Cours d'informatique,InNum,NR,NR,NR,NR,NR,NR,NR,,,47.210419,-1.596415,5 Rue du Corps de Garde 44100 Nantes
conum_15_,44110,44,Loire-Atlantique,ACIAH - Accessibilité Communication Information Accompagnement du Handicap,3 avenue de la Fraternité  44110 Châteaubriant et seize communes du territoire,02 40 79 56 46,https://aciah-formations-informatiques-pour-tous.fr,POIRAUD Bernadette,equipe-advl@laposte.net,Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Démarches administratives en ligne Approfondissement logiciels Approfondissement internet,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn,Formations collectives Initiations Accompagnements collectifs Accompagnements individuels Autonomie,FoCo-In-AcCo-AcIn-Au,Gratuit Payant APTIC,G-P-A,Tous publics  Adultes / Familles Seniors,Tp-Af-S,Oui,,https://aciah-formations-informatiques-pour-tous.fr/IMG/siteon0.png,47.709934,-1.386966,3 Avenue de la Fraternité 44110 Châteaubriant
conum_16_,44110,44,Loire-Atlantique,Bibliothèque de Soudan,Rue Julien Masson 44110 Soudan,02 40 79 35 04,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,80€ hors commune,P,NR,NR,NR,,,47.736728,-1.30285,Rue Julien Masson 44110 Soudan
conum_17_,44110,44,Loire-Atlantique,Bibliothèque de Villepot,Rue de la Chapelle 44110 Villepot,02 40 79 51 51,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.774508,-1.276894,Rue de la Chapelle 44110 Villepot
conum_18_,44110,44,Loire-Atlantique,Bibliotheque Louisfert,4 Rue de la République 44110 Louisfert,02 40 79 95 15,https://castelbriantais.e-sezhame.fr/node/content/nid/14403,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,,,NR,NR,NR,,,47.676502,-1.434035,4 Rue de la République 44110 Louisfert
conum_19_,44110,44,Loire-Atlantique,Bibliothèque Noyal-sur-Brutz,5 Rue des Troènes 44110 Noyal-sur-Brutz,02 40 87 21 05,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.77471,-1.342405,5 Rue des Troènes 44110 Noyal-sur-Brutz
conum_20_,44110,44,Loire-Atlantique,Blibliothèque Erbray,4 Rue du Rocher 44110 Erbray,02 40 79 31 64,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.655525,-1.318018,4 Rue du Rocher 44110 Erbray
conum_21_,44110,44,Loire-Atlantique,Médiathèque Chateaubriant,6 Place Saint-Nicolas 44110 Châteaubriant,02 40 54 02 12,http://www.mairie-chateaubriant.fr/mediatheque-intercommunale/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,6€ pour les résidents hors communauté de communes Carte pass plus :- Pour les résidents de communauté de communes (tarif réduit 12€ / tarif normal 18€)-Pour les résidents hors communautés de communes (tarif réduit 18€ / tarif normal 24€),CondP,NR,NR,NR,,,47.719159,-1.376855,6 Place Saint-nicolas 44110 Châteaubriant
conum_22_,44110,44,Loire-Atlantique,Pôle emploi Châteaubriant,10 Rue d'Ancenis 44110 Châteaubriant,02 28 02 07 40,https://www.pole-emploi.fr/annuaire/chateaubriant-44036,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.717716,-1.370852,10 Rue d'Ancenis 44110 Châteaubriant
conum_23_,44117,44,Loire-Atlantique,Bibliothèque de saint-André-des-Eaux,Rue des Guifettes 44117 Saint-André-des-Eaux,NR,http://bibliotheque.saint-andre-des-eaux.fr,A côté du terrain de football,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.31954,-2.30457,Rue des Guifettes 44117 Saint-André-des-Eaux
conum_24_,44119,44,Loire-Atlantique,CCAS Grandchamp des fontaines,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,07 81 95 54 13,http://www.grandchampdesfontaines.fr/mairie/services-municipaux-1999/ccas-301.html?cHash=f7a91b93291d711ac66f686a531a2273,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.364335,-1.60597,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines
conum_25_,44119,44,Loire-Atlantique,Maison de l'emploi Grandchamp-des-fontaines,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,02 51 79 00 85,http://www.cceg.fr/annuaire-des-structures-192/maison-de-l-emploi-et-de-la-formation-grandchamp-des-fontaines-85.html?cHash=f1888d85829b12fa37a18e7e73806223,NR,NR,Lieu de formation lié l'emploi.,DeAd,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.36365,-1.607099,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines
conum_26_,44119,44,Loire-Atlantique,Médiathèque de Grandchamp des fontaines,Rue de Curette 44119 Grandchamps-des-Fontaines,02 40 36 09 13,http://www.grandchampdesfontaines.fr/culture-sports-loisirs/culture/mediatheque-victor-hugo-2057.html,NR,NR,Espace documentaire et point d'accès numérique.,LeAc,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit,G,NR,NR,NR,,,47.365719,-1.617794,Rue de Curette 44119 Grandchamps-des-Fontaines
conum_27_,44119,44,Loire-Atlantique,Solidarité Emploi,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,3949,http://solidarite-emploi44.fr/index.php,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,,47.363957,-1.607023,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines
conum_28_,44120,44,Loire-Atlantique,Service Jeunesse,2 Place Saint-Martin  44120 Vertou,02 40 12 24 12,http://www.vertou.fr/fr/information/111972/jeunesse-11-21ans,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.167944,-1.473317,2 Place Saint-martin 44120 Vertou
conum_29_,44130,44,Loire-Atlantique,"Bibliothèque municipale ""Le Pot a Mots""",6 place Notre-Dame du Châtellier 44310 Saint-Lumine-de-Coutais,02 44 76 32 24,https://www.mobilis-paysdelaloire.fr/annuaire/bibliotheques/bibliotheque-pot-a-mots-saint-lumine-de-coutais,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.055928,-1.726852,6 Place Notre Dame du Chatellier 44310 Saint-Lumine-de-Coutais
conum_30_,44130,44,Loire-Atlantique,Centre Socioculturel TEMPO,7 rue du 11 novembre 44130 Blain,02 40 20 63 20,http://csctempo.fr/,Thomas JAMMERNEGG,thomas@csctempo.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsAccompagnements collectifsAutonomie,In-AcCo-Au,Gratuit,G,Tout public,Tp,Non,,http://csctempo.fr/wp-content/uploads/2018/09/bandeau-7.png,47.476321,-1.763342,7 Rue du 11 Novembre 44130 Blain
conum_31_,44130,44,Loire-Atlantique,Maison de l'emploi Blain,7 Rue Victor Schoelcher 44130 Blain,08 10 25 44 10,https://www.pays-de-blain.com/economie-emploi/emploi-et-formation/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.47432,-1.761281,7 Rue Victor Schoelcher 44130 Blain
conum_32_,44130,44,Loire-Atlantique,Médiathèque de Fay de bretagne,2 Rue Georges Sicard 44130 Fay-de-Bretagne,02 40 82 97 00,http://www.faydebretagne.fr/jsp/site/Portal.jsp?page_id=120,Espace de lecture et point d'accès numérique.,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.415363,-1.792132,2 Rue Georges Sicard 44130 Fay-de-Bretagne
conum_33_,44140,44,Loire-Atlantique,Point Relais Emploi,Rue de la Mairie 44140 Montbert,02 40 82 20 30,http://www.montbert.fr/point-relais-emploi/,Magali BRETIN,pointrelaisemploi-montbert@cc-grandlieu.fr,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.056715,-1.479572,Rue de la Jarrie 44140 Montbert
conum_34_,44150,44,Loire-Atlantique,Bibliothèque Marcel Rouvreau,Port Arthur (Anetz) 44150 Vair-sur-Loire,02 40 82 65 90,http://bibliofil.pays-ancenis.fr/,Accès à un point numérique.,NR,NR,NR,NR,NR,gratuit,G,NR,NR,NR,NR,,47.377989,-1.103496,Rue de Port Arthur 44150 Vair-sur-Loire
conum_35_,44150,44,Loire-Atlantique,Le Fablab Pays d’Ancenis,Allée Vicomte de Rohan 44150 Ancenis-Saint-Géréon,09 72 72 39 49,https://www.fablabancenis.fr/,NR,contact@fablabancenis.fr,Imprimante 3D,CuFa-CuNu,NR,NR,NR,NR,NR,NR,NR,,,47.369076,-1.183967,Allee des Etangs 44150 Ancenis-Saint-Géréon
conum_36_,44150,44,Loire-Atlantique,Mairie d'Ancenis,Place du Maréchal Foch 44150 Ancenis,02 40 33 16 88,https://www.ancenis.fr,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.365524,-1.176786,Place du Marechal Foch 44150 Ancenis-Saint-Géréon
conum_37_,44150,44,Loire-Atlantique,Maison de l'Etat,Rue du Docteur Bousseau 44150 Ancenis,02 72 01 54 64,http://www.loire-atlantique.gouv.fr/Services-de-l-Etat/Prefecture-et-sous-prefectures/Sous-prefecture-de-Chateaubriant-Ancenis,NR,NR,Démarches administratives en ligneConseils,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,13/01/2021,,47.364033,-1.18475,Rue du Docteur Bousseau 44150 Ancenis-Saint-Géréon
conum_38_,44150,44,Loire-Atlantique,Médiathèque Ancenis,Place de la République 44150 Ancenis,02 40 68 16 51,https://bibliofil.pays-ancenis.com/,NR,NR,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.365388,-1.182721,Place de la Republique 44150 Ancenis-Saint-Géréon
conum_39_,44150,44,Loire-Atlantique,Mission locale d'Ancenis,30 Place Francis Robert 44150 Ancenis,02 40 77 95 21,http://www.missionlocalepaysancenis.fr/,NR,accueil@mlpaysancenis.fr,Démarches administratives en ligneConseils,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,jeunes 16/25 ans / réside dans le pays d’Ancenis,CondP,NR,NR,NR,,,47.370095,-1.178797,30 Avenue Francis Robert 44150 Ancenis-Saint-Géréon
conum_40_,44150,44,Loire-Atlantique,Point Info Mobile,19 Rue Général Leclerc 44510 Le Pouliguen,02 40 27 25 85,http://www.tourisme-lepouliguen.fr/wifi-au-pouliguen.html,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.278353,-2.429486,19 Rue Général Leclerc 44510 Le Pouliguen
conum_41_,44150,44,Loire-Atlantique,Point relais emploi de Vallet,1 Place Charles de Gaulle 44330 Vallet,02 40 39 37 01,NR,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.160905,-1.26543,1 Place Charles de Gaulle 44330 Vallet
conum_42_,44150,44,Loire-Atlantique,Pôle emploi Ancenis,336 Rue de Chateaubriand 44150 Ancenis,02 40 27 45 80,https://www.pole-emploi.fr/accueil/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.377984,-1.181473,336 Rue Francois Rene Chateaubriand 44150 Ancenis-Saint-Géréon
conum_43_,44150,44,Loire-Atlantique,Relais CAF,20 Rue émile Gabory 44330 Vallet,06 72 60 06 01,http://www.caf.fr/,NR,NR,NR,NR,NR,NR,gratuit,G,NR,NR,NR,,,47.162579,-1.26869,20 Rue Emile Gabory 44330 Vallet
conum_44_,44160,44,Loire-Atlantique,Bibliothèque,2 Rue du Mortier Plat 44160 Sainte-Anne-sur-Brivet,02 40 54 97 87,http://www.sainte-anne-sur-brivet.fr/bibliotheque,NR,NR,Bibliothèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.458925,-2.005013,2 Rue du Mortier Plat 44160 Sainte-Anne-sur-Brivet
conum_45_,44160,44,Loire-Atlantique,Bibliothèque de Sainte-Reine-de-Bretagne,7 Rue du Père de Montfort 44160 Sainte-Reine-de-Bretagne,02 40 47 94 20,www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-sainte-reine-de-bretagne-2/,NR,NR,Bibliothèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.440635,-2.190881,7 Rue du Père de Montfort 44160 Sainte-Reine-de-Bretagne
conum_46_,44160,44,Loire-Atlantique,Médiathèque de Crossac,Impasse des Petits Matelots 44160 Crossac,02 40 04 08 76,http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-crossac-2,NR,NR,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.411034,-2.172382,Impasse des Petits Matelots 44160 Crossac
conum_47_,44160,44,Loire-Atlantique,Médiathèque de Pont-château,3 Rue du Chène Vert 44160 Pontchâteau,02 47 36 05 77,http://www.cc-paysdepontchateau.fr/contacts/mediatheque-de-pont-chateau,NR,NR,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit,G,NR,NR,NR,,,47.431457,-2.075387,3 Rue du Chêne Vert 44160 Pontchâteau
conum_48_,44160,44,Loire-Atlantique,Médiathèque Georges Sand,25 Rue de la Mairie 44160 Besné,02 28 01 76 72,http://mediatheque.besne.fr,NR,NR,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit,G,NR,NR,NR,,,47.39653,-2.09208,25 Rue de la Mairie 44160 Besné
conum_49_,44160,44,Loire-Atlantique,Relais CAF,7 Place de l'église 44160 Pontchâteau,02 40 56 96 95,https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-de-communes-du-pays-de-pont-chateau-saint-gildas-des-bois/caf-relais-de-pontchateau-fr-p2_638495,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.438199,-2.089303,7 Place de l'Eglise 44160 Pontchâteau
conum_50_,44160,44,Loire-Atlantique,Service emploi de Pontchâteau,2 Rue des Châtaigniers 44160 Pontchâteau,0 810 25 44 10,https://www.cc-paysdepontchateau.fr/emploi-orientation/vous-avez-plus-de-26-ans/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,43953,,47.440489,-2.102636,2 Rue des Châtaigniers 44160 Pontchâteau
