Code postal,departement,dep_nom,Nom lieu,Adresse postale,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
44 100,44,Loire-Atlantique,Dclic,19 Rue Auguste Renoir  44100 Nantes,47.223648,-1.595732,19 Rue Auguste Renoir 44100 Nantes,0.96,housenumber,44109_0452_00019,19,Rue Auguste Renoir,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 110,44,Loire-Atlantique,Bibliothèque de Soudan,Rue Julien Masson 44110 Soudan,47.737206,-1.304765,Rue Julien Masson 44110 Soudan,0.94,street,44199_0670,,Rue Julien Masson,,44110,Soudan,"44, Loire-Atlantique, Pays de la Loire",44199,,,
44 110,44,Loire-Atlantique,Bibliothèque de Villepot,Rue de la Chapelle 44110 Villepot,47.775288,-1.27694,Rue de la Chapelle 44110 Villepot,0.94,street,44218_0023,,Rue de la Chapelle,,44110,Villepot,"44, Loire-Atlantique, Pays de la Loire",44218,,,
44 110,44,Loire-Atlantique,Bibliotheque Louisfert,4 Rue de la République 44110 Louisfert,47.676502,-1.434035,4 Rue de la République 44110 Louisfert,0.94,housenumber,44085_0255_00004,4,Rue de la République,,44110,Louisfert,"44, Loire-Atlantique, Pays de la Loire",44085,,,
44 110,44,Loire-Atlantique,Bibliothèque Noyal-sur-Brutz,5 Rue des Troènes 44110 Noyal-sur-Brutz,47.77471,-1.342405,5 Rue des Troènes 44110 Noyal-sur-Brutz,0.94,housenumber,44112_0180_00005,5,Rue des Troènes,,44110,Noyal-sur-Brutz,"44, Loire-Atlantique, Pays de la Loire",44112,,,
44 110,44,Loire-Atlantique,Blibliothèque Erbray,4 Rue du Rocher 44110 Erbray,47.655525,-1.318018,4 Rue du Rocher 44110 Erbray,0.94,housenumber,44054_0613_00004,4,Rue du Rocher,,44110,Erbray,"44, Loire-Atlantique, Pays de la Loire",44054,,,
44 110,44,Loire-Atlantique,Maison de l'Emploi du Pays de Châteaubriant,16 Rue Gabriel de la Tour 44110 Châteaubriant,47.711728,-1.373913,16 Rue Gabriel Delatour 44110 Châteaubriant,0.83,housenumber,44036_0635_00016,16,Rue Gabriel Delatour,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44 110,44,Loire-Atlantique,Médiathèque Chateaubriant,6 Place Saint-Nicolas 44110 Châteaubriant,47.719159,-1.376855,6 Place Saint-nicolas 44110 Châteaubriant,0.95,housenumber,44036_1430_00006,6,Place Saint-nicolas,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44 110,44,Loire-Atlantique,Pôle emploi Châteaubriant,10 Rue d'Ancenis 44110 Châteaubriant,47.717716,-1.370852,10 Rue d'Ancenis 44110 Châteaubriant,0.95,housenumber,44036_0030_00010,10,Rue d'Ancenis,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44 117,44,Loire-Atlantique,Bibliothèque de saint-André-des-Eaux,Rue des Guifettes 44117 Saint-André-des-Eaux,47.32028,-2.30713,Rue des Guifettes 44117 Saint-André-des-Eaux,0.95,street,44151_0065,,Rue des Guifettes,,44117,Saint-André-des-Eaux,"44, Loire-Atlantique, Pays de la Loire",44151,,,
44 119,44,Loire-Atlantique,CCAS Grandchamp des fontaines,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,47.364335,-1.60597,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,0.95,housenumber,44066_0140_00025,25,Avenue du Général de Gaulle,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44 119,44,Loire-Atlantique,Maison de l'emploi Grandchamp-des-fontaines,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,47.364131,-1.606247,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,0.95,housenumber,44066_0015_00001,1,Rue des Cèdres,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44 119,44,Loire-Atlantique,Médiathèque de Grandchamp des fontaines,Rue de Curette 44119 Grandchamps-des-Fontaines,47.364428,-1.606972,Rue de Curette 44119 Grandchamps-des-Fontaines,0.95,street,44066_0026,,Rue de Curette,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44 119,44,Loire-Atlantique,Solidarité Emploi ,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,47.363845,-1.607129,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,0.95,housenumber,44066_0015_00002,2,Rue des Cèdres,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44 120,44,Loire-Atlantique,Service Jeunesse,15 Rue Aristide Briand 44120 Vertou,47.167415,-1.473814,15 Rue Aristide Briand 44120 Vertou,0.95,housenumber,44215_0060_00015,15,Rue Aristide Briand,,44120,Vertou,"44, Loire-Atlantique, Pays de la Loire",44215,,,
44 130,44,Loire-Atlantique,"Bibliothèque municipale ""Le Pot a Mots""",6 place Notre-Dame du Châtellier 44310 Saint-Lumine-de-Coutais,47.055928,-1.726852,6 Place Notre Dame du Chatellier 44310 Saint-Lumine-de-Coutais,0.94,housenumber,44174_7hljxe_00006,6,Place Notre Dame du Chatellier,,44310,Saint-Lumine-de-Coutais,"44, Loire-Atlantique, Pays de la Loire",44174,,,
44 130,44,Loire-Atlantique,Centre Socioculturel Tempo,7 Rue du 11 Novembre 44130 Blain,47.476321,-1.763342,7 Rue du 11 Novembre 44130 Blain,0.95,housenumber,44015_0493_00007,7,Rue du 11 Novembre,,44130,Blain,"44, Loire-Atlantique, Pays de la Loire",44015,,,
44 130,44,Loire-Atlantique,Maison de l'emploi Blain,7 Rue Victor Schoelcher 44130 Blain,47.47432,-1.761281,7 Rue Victor Schoelcher 44130 Blain,0.95,housenumber,44015_0799_00007,7,Rue Victor Schoelcher,,44130,Blain,"44, Loire-Atlantique, Pays de la Loire",44015,,,
44 130,44,Loire-Atlantique,Médiathèque de Fay de bretagne,2 Rue Georges Sicard 44130 Fay-de-Bretagne,47.415363,-1.792132,2 Rue Georges Sicard 44130 Fay-de-Bretagne,0.94,housenumber,44056_0065_00002,2,Rue Georges Sicard,,44130,Fay-de-Bretagne,"44, Loire-Atlantique, Pays de la Loire",44056,,,
44 130,44,Loire-Atlantique,Centre Socioculturel TEMPO,7 rue du 11 novembre 44130 Blain,47.476321,-1.763342,7 Rue du 11 Novembre 44130 Blain,0.95,housenumber,44015_0493_00007,7,Rue du 11 Novembre,,44130,Blain,"44, Loire-Atlantique, Pays de la Loire",44015,,,
44 140,44,Loire-Atlantique,Point Relais Emploi,Rue de la Mairie 44140 Montbert,47.056891,-1.476556,Rue de la Marche 44140 Montbert,0.73,street,44102_0285,,Rue de la Marche,,44140,Montbert,"44, Loire-Atlantique, Pays de la Loire",44102,,,
44 150,44,Loire-Atlantique,Bibliothèque Marcel Rouvreau,Port Arthur (Anetz) 44150 Vair-sur-Loire,47.377928,-1.104773,Rue de Port Arthur 44150 Vair-sur-Loire,0.68,street,44004_0060,,Rue de Port Arthur,,44150,Vair-sur-Loire,"44, Loire-Atlantique, Pays de la Loire",44163,44004,Anetz,
44 150,44,Loire-Atlantique,Le Fablab Pays d’Ancenis,5 Place Armand de Béthune 44150 Ancenis,47.364199,-1.19173,5 Place Armand de Bethune 44150 Ancenis-Saint-Géréon,0.76,housenumber,44003_cisdmi_00005,5,Place Armand de Bethune,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Mairie d'Ancenis,Place du Maréchal Foch 44150 Ancenis,47.365559,-1.176597,Place du Marechal Foch 44150 Ancenis-Saint-Géréon,0.74,street,44003_0610,,Place du Marechal Foch,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Maison de l'Etat,Rue du Docteur Bousseau 44150 Ancenis,47.363881,-1.184751,Rue du Docteur Bousseau 44150 Ancenis-Saint-Géréon,0.75,street,44003_resphg,,Rue du Docteur Bousseau,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Médiathèque Ancenis,Place de la République 44150 Ancenis,47.365521,-1.183551,Place de la Republique 44150 Ancenis-Saint-Géréon,0.74,street,44003_0800,,Place de la Republique,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Mission locale d'Ancenis,30 Place Francis Robert 44150 Ancenis,47.370095,-1.178797,30 Avenue Francis Robert 44150 Ancenis-Saint-Géréon,0.61,housenumber,44003_0320_00030,30,Avenue Francis Robert,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Point Info Mobile,19 Rue Général Leclerc 44510 Le Pouliguen,47.278353,-2.429486,19 Rue Général Leclerc 44510 Le Pouliguen,0.95,housenumber,44135_0530_00019,19,Rue Général Leclerc,,44510,Le Pouliguen,"44, Loire-Atlantique, Pays de la Loire",44135,,,
44 150,44,Loire-Atlantique,Point relais emploi de Vallet,1 Place Charles de Gaulle 44330 Vallet,47.160905,-1.26543,1 Place Charles de Gaulle 44330 Vallet,0.95,housenumber,44212_0300_00001,1,Place Charles de Gaulle,,44330,Vallet,"44, Loire-Atlantique, Pays de la Loire",44212,,,
44 150,44,Loire-Atlantique,Pôle emploi Ancenis,336 Rue de Chateaubriand 44150 Ancenis,47.377984,-1.181473,336 Rue Francois Rene Chateaubriand 44150 Ancenis-Saint-Géréon,0.65,housenumber,44003_0795_00336,336,Rue Francois Rene Chateaubriand,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44 150,44,Loire-Atlantique,Relais CAF,20 Rue émile Gabory 44330 Vallet,47.162579,-1.26869,20 Rue Emile Gabory 44330 Vallet,0.95,housenumber,44212_0500_00020,20,Rue Emile Gabory,,44330,Vallet,"44, Loire-Atlantique, Pays de la Loire",44212,,,
44 160,44,Loire-Atlantique,Bibliothèque,2 Rue du Mortier Plat 44160 Sainte-Anne-sur-Brivet,47.458925,-2.005013,2 Rue du Mortier Plat 44160 Sainte-Anne-sur-Brivet,0.94,housenumber,44152_0126_00002,2,Rue du Mortier Plat,,44160,Sainte-Anne-sur-Brivet,"44, Loire-Atlantique, Pays de la Loire",44152,,,
44 160,44,Loire-Atlantique,Bibliothèque de Sainte-Reine-de-Bretagne,7 Rue du Père de Montfort 44160 Sainte-Reine-de-Bretagne,47.440635,-2.190881,7 Rue du Père de Montfort 44160 Sainte-Reine-de-Bretagne,0.94,housenumber,44189_0140_00007,7,Rue du Père de Montfort,,44160,Sainte-Reine-de-Bretagne,"44, Loire-Atlantique, Pays de la Loire",44189,,,
44 160,44,Loire-Atlantique,Médiathèque de Crossac,Impasse des Petits Matelots 44160 Crossac,47.411034,-2.172382,Impasse des Petits Matelots 44160 Crossac,0.94,street,44050_0134,,Impasse des Petits Matelots,,44160,Crossac,"44, Loire-Atlantique, Pays de la Loire",44050,,,
44 160,44,Loire-Atlantique,Médiathèque de Pont-château,3 Rue du Chène Vert 44160 Pontchâteau,47.431457,-2.075387,3 Rue du Chêne Vert 44160 Pontchâteau,0.95,housenumber,44129_0114_00003,3,Rue du Chêne Vert,,44160,Pontchâteau,"44, Loire-Atlantique, Pays de la Loire",44129,,,
44 160,44,Loire-Atlantique,Médiathèque Georges Sand,25 Rue de la Mairie 44160 Besné,47.39653,-2.09208,25 Rue de la Mairie 44160 Besné,0.94,housenumber,44013_0097_00025,25,Rue de la Mairie,,44160,Besné,"44, Loire-Atlantique, Pays de la Loire",44013,,,
44 160,44,Loire-Atlantique,Relais CAF,7 Place de l'église 44160 Pontchâteau,47.438199,-2.089303,7 Place de l'Eglise 44160 Pontchâteau,0.95,housenumber,44129_0220_00007,7,Place de l'Eglise,,44160,Pontchâteau,"44, Loire-Atlantique, Pays de la Loire",44129,,,
44 160,44,Loire-Atlantique,Service emploi de Pontchâteau,2 Rue des Châtaigniers 44160 Pontchâteau,47.440489,-2.102636,2 Rue des Châtaigniers 44160 Pontchâteau,0.95,housenumber,44129_0096_00002,2,Rue des Châtaigniers,,44160,Pontchâteau,"44, Loire-Atlantique, Pays de la Loire",44129,,,
44 170,44,Loire-Atlantique,Bibliothèque d'Abbaretz,8 Rue des écoles 44170 Abbaretz,47.552072,-1.532326,8 Rue des Ecoles 44170 Abbaretz,0.94,housenumber,44001_0293_00008,8,Rue des Ecoles,,44170,Abbaretz,"44, Loire-Atlantique, Pays de la Loire",44001,,,
44 170,44,Loire-Atlantique,Bibliothèque de la grigonnais,5 Rue de l'Abbé- Merel 44170 La Grigonnais,47.526399,-1.66738,5 Rue de l'Abbe Merel 44170 La Grigonnais,0.94,housenumber,44224_0042_00005,5,Rue de l'Abbe Merel,,44170,La Grigonnais,"44, Loire-Atlantique, Pays de la Loire",44224,,,
44 170,44,Loire-Atlantique,Bibliotheque de Nozay,21 Rue Alexis Letourneau 44170 Nozay,47.564644,-1.62652,21 Rue Alexis Letourneau 44170 Nozay,0.95,housenumber,44113_0060_00021,21,Rue Alexis Letourneau,,44170,Nozay,"44, Loire-Atlantique, Pays de la Loire",44113,,,
44 170,44,Loire-Atlantique,Bibliothèque de Tréffieux,2 Place Saint-Grégoire 44170 Treffieux,47.619608,-1.537584,2 Place Saint-grégoire 44170 Treffieux,0.94,housenumber,44208_0375_00002,2,Place Saint-grégoire,,44170,Treffieux,"44, Loire-Atlantique, Pays de la Loire",44208,,,
44 170,44,Loire-Atlantique,Bibliothèque de Vay,5 Rue Principale 44170 Vay,47.554607,-1.701621,5 Rue Principale 44170 Vay,0.94,housenumber,44214_0090_00005,5,Rue Principale,,44170,Vay,"44, Loire-Atlantique, Pays de la Loire",44214,,,
44 170,44,Loire-Atlantique,CSC lamano de Nozay,Le Patis Jourdeau 44170 Nozay,47.56188,-1.622391,Le Pâtis Jourdeau 44170 Nozay,0.95,street,44113_b456,,Le Pâtis Jourdeau,,44170,Nozay,"44, Loire-Atlantique, Pays de la Loire",44113,,,
44 170,44,Loire-Atlantique,Cyber-base emploi de Nozay ,9 Rue de l'église 44170 Nozay,47.565797,-1.625008,9 Rue de l'Eglise 44170 Nozay,0.95,housenumber,44113_0720_00009,9,Rue de l'Eglise,,44170,Nozay,"44, Loire-Atlantique, Pays de la Loire",44113,,,
44 170,44,Loire-Atlantique,Cybercentre de Nozay,16 Route de Nort Sur Erdre 44170 Nozay,47.561189,-1.623635,16 Route de Nort-sur-erdre 44170 Nozay,0.95,housenumber,44113_1680_00016,16,Route de Nort-sur-erdre,,44170,Nozay,"44, Loire-Atlantique, Pays de la Loire",44113,,,
44 170,44,Loire-Atlantique,Médiathèque de Jans,12 Route de Nozay 44170 Jans,47.621228,-1.614444,12 Route de Nozay 44170 Jans,0.94,housenumber,44076_0563_00012,12,Route de Nozay,,44170,Jans,"44, Loire-Atlantique, Pays de la Loire",44076,,,
44 170,44,Loire-Atlantique,Médiathèque de Marsac-sur-Don,18 Rue Saint-Martin 44170 Marsac-sur-Don,47.596953,-1.677235,18 Rue Saint Martin 44170 Marsac-sur-Don,0.94,housenumber,44091_0022_00018,18,Rue Saint Martin,,44170,Marsac-sur-Don,"44, Loire-Atlantique, Pays de la Loire",44091,,,
44 190,44,Loire-Atlantique,Caisse d'Allocations Familiales,2 Rue du Docteur Doussin 44190 Clisson,47.092043,-1.290544,2 Rue du Docteur Doussain 44190 Clisson,0.88,housenumber,44043_0708_00002,2,Rue du Docteur Doussain,,44190,Clisson,"44, Loire-Atlantique, Pays de la Loire",44043,,,
44 190,44,Loire-Atlantique,"CoworKlisson
",1 Route de Saint-Fiacre 44190 Gorges,47.100089,-1.306367,1 Route de Saint-fiacre 44190 Gorges,0.95,housenumber,44064_0140_00001,1,Route de Saint-fiacre,,44190,Gorges,"44, Loire-Atlantique, Pays de la Loire",44064,,,
44 190,44,Loire-Atlantique,Gullivigne,Esplanade de Klettgau 44190 Clisson,47.094181,-1.290447,Esplanade de Klettgau 44190 Clisson,0.95,street,44043_1035,,Esplanade de Klettgau,,44190,Clisson,"44, Loire-Atlantique, Pays de la Loire",44043,,,
44 190,44,Loire-Atlantique,La récupérette,4 Rue des Châtaigniers 44190 Clisson,47.077672,-1.282695,4 Rue des Châtaigniers 44190 Clisson,0.95,housenumber,44043_0316_00004,4,Rue des Châtaigniers,,44190,Clisson,"44, Loire-Atlantique, Pays de la Loire",44043,,,
44 190,44,Loire-Atlantique,Médiathèque Geneviève Couteaux,1 Place Saint-Jacques 44190 Clisson,47.087877,-1.28351,1 Place Saint-jacques 44190 Clisson,0.95,housenumber,44043_1700_00001,1,Place Saint-jacques,,44190,Clisson,"44, Loire-Atlantique, Pays de la Loire",44043,,,
44 190,44,Loire-Atlantique,Mission locale du Vignoble Nantais,3 Place Maurice Renoul 44190 Gorges,47.101674,-1.303662,3 Place Maurice Renoul 44190 Gorges,0.95,housenumber,44064_0115_00003,3,Place Maurice Renoul,,44190,Gorges,"44, Loire-Atlantique, Pays de la Loire",44064,,,
44 190,44,Loire-Atlantique,Pôle Emploi Clisson,7 Allée du Chantre 44190 Clisson,47.096615,-1.284243,7 Allée du Chantre 44190 Clisson,0.95,housenumber,44043_0309_00007,7,Allée du Chantre,,44190,Clisson,"44, Loire-Atlantique, Pays de la Loire",44043,,,
44 200,44,Loire Atlantique,CAP Jeunes,23 rue Louis Joxe 44200 NANTES,47.205409,-1.544552,23 Rue Louis Joxe 44200 Nantes,0.96,housenumber,44109_5095_00023,23,Rue Louis Joxe,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 200,44,Loire-Atlantique,Cyber Espace de Nantes (ACCOORD) ,2 Rue Conan Mériadec 44200 Nantes,47.206672,-1.550772,2 Rue Conan Mériadec 44200 Nantes,0.96,housenumber,44109_2104_00002,2,Rue Conan Mériadec,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 200,44,Loire-Atlantique,"Ecole de la deuxième chance
",10 Rue René Viviani 44200 Nantes,47.208719,-1.535502,10 Rue René Viviani 44200 Nantes,0.96,housenumber,44109_7250_00010,10,Rue René Viviani,,44200,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44 210,44,Loire-Atlantique,Caisse d'Allocations Familiales,1 BIS Rue Jean Sarment 44210 Pornic,47.124345,-2.111678,1 bis Rue Jean Sarment 44210 Pornic,0.95,housenumber,44131_1973_00001_bis,1 bis,Rue Jean Sarment,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 210,44,Loire-Atlantique,CCAS Pornic,1 Rue Jean Sarment 44210 Pornic,47.123972,-2.112024,1 Rue Jean Sarment 44210 Pornic,0.95,housenumber,44131_1973_00001,1,Rue Jean Sarment,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 210,44,Loire-Atlantique,Centre Médico-Social,"21 route de Saint-Père-en-Retz 44210 Pornic
                 ",47.120976,-2.100325,21 Route de Saint Pere En Retz 44210 Pornic,0.95,housenumber,44131_4335_00021,21,Route de Saint Pere En Retz,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 210,44,Loire-Atlantique,Cybercentre de Pornic -Médiathèque,35 Rue Tartifume 44210 Pornic,47.116741,-2.100931,35 Rue Tartifume 44210 Pornic,0.95,housenumber,44131_4460_00035,35,Rue Tartifume,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 210,44,Loire-Atlantique,Cybercentre Pornic,35 Rue Tartifume 44210 Pornic,47.116741,-2.100931,35 Rue Tartifume 44210 Pornic,0.95,housenumber,44131_4460_00035,35,Rue Tartifume,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 210,44,Loire-Atlantique,Pôlle Emploi,62 Boulevard de Linz 44210 Pornic,47.12195,-2.114091,62 Boulevard de Linz 44210 Pornic,0.95,housenumber,44131_3281_00062,62,Boulevard de Linz,,44210,Pornic,"44, Loire-Atlantique, Pays de la Loire",44131,,,
44 230,44,Loire-Atlantique,Centre Socioculturel de l'Allée Verte,1 Rue de l'Allée Verte 44230 Saint-Sébastien-sur-Loire,47.195805,-1.487956,Rue de l'Allée Verte 44230 Saint-Sébastien-sur-Loire,0.92,street,44190_0030,,Rue de l'Allée Verte,,44230,Saint-Sébastien-sur-Loire,"44, Loire-Atlantique, Pays de la Loire",44190,,,
44 240,44,LOIRE-ATLANTIQUE,Espace Médiation Numérique de la Chapelle sur Erdre,8 rue François Clouet,49.516982,0.073672,8 Rue François Clouet 76620 Le Havre,0.96,housenumber,76351_3125_00008,8,Rue François Clouet,,76620,Le Havre,"76, Seine-Maritime, Normandie",76351,,,
44 240,44,Loire-Atlantique,Médiathèque et ludothèque,Rue René Goscinny 44240 La Chapelle-sur-Erdre,47.310427,-1.547685,Rue René Goscinny 44240 La Chapelle-sur-Erdre,0.95,street,44035_4404,,Rue René Goscinny,,44240,La Chapelle-sur-Erdre,"44, Loire-Atlantique, Pays de la Loire",44035,,,
44 240,44,Loire-Atlantique,Médiathèque Sucé-Sur-Erdre,101 Rue de la Mairie 44240 Sucé-sur-Erdre,47.340042,-1.526222,101 Rue de la Mairie 44240 Sucé-sur-Erdre,0.95,housenumber,44201_0220_00101,101,Rue de la Mairie,,44240,Sucé-sur-Erdre,"44, Loire-Atlantique, Pays de la Loire",44201,,,
44 250,44,Loire-Atlantique,Espace départemental des solidarités Saint-Brévin-les-Pins,8 Rue de la Résistance 44250 Saint-Brevin-les-Pins,47.246503,-2.168188,8 Rue de la Résistance 44250 Saint-Brevin-les-Pins,0.95,housenumber,44154_2510_00008,8,Rue de la Résistance,,44250,Saint-Brevin-les-Pins,"44, Loire-Atlantique, Pays de la Loire",44154,,,
44 250,44,Loire-Atlantique,Guichet Unique Emploi St-Brévin-les-Pins,6 Avenue Jules Ferry 44250 Saint-Brevin-les-Pins,47.248211,-2.165859,6 Avenue Jules Ferry 44250 Saint-Brevin-les-Pins,0.95,housenumber,44154_1590_00006,6,Avenue Jules Ferry,,44250,Saint-Brevin-les-Pins,"44, Loire-Atlantique, Pays de la Loire",44154,,,
44 250,44,Loire-Atlantique,Médiathèque Espace Jules Verne,30 Avenue Jules Verne 44250 Saint-Brevin-les-Pins,47.246741,-2.168529,30 Avenue Jules Verne 44250 Saint-Brevin-les-Pins,0.95,housenumber,44154_1610_00030,30,Avenue Jules Verne,,44250,Saint-Brevin-les-Pins,"44, Loire-Atlantique, Pays de la Loire",44154,,,
44 260,44,Loire-Atlantique,Bouillon de Cultures Malville,8 Place de l'église 44260 Malville,47.360577,-1.863804,8 Place de l'Eglise 44260 Malville,0.94,housenumber,44089_1410_00008,8,Place de l'Eglise,,44260,Malville,"44, Loire-Atlantique, Pays de la Loire",44089,,,
