,departement,dep_nom,Nom lieu,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
44100,44,Loire-Atlantique,Maison de l'emploi Dervallières,8 Rue Henri Matisse 44100 Nantes,02 28 03 58 00,https://www.me-metropole-nantaise.org/ou-nous-trouver/,NR,https://www.me-metropole-nantaise.org/contact/,NR,NR,,,NR,NR,NR,NR,NR,,,47.223083,-1.596759,8 Rue Henri Matisse 44100 Nantes,0.97,housenumber,44109_4151_00008,8,Rue Henri Matisse,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,Médiathèque Lisa Bresner,23 Boulevard Émile Romanet 44100 Nantes,02 40 41 54 00,https://bm.nantes.fr/home/pratique/adresses-et-horaires/mediatheque-lisa-bresner.html,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.209868,-1.602584,23 Boulevard Emile Romanet 44100 Nantes,0.98,housenumber,44109_2794_00023,23,Boulevard Emile Romanet,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire Atlantique,PiNG,38 rue du Breil,02 40 16 86 78,https://www.pingbase.net/,,info@pingbase.net,Approfondissement logicielsApprofondissement internetCulture numériqueCulture FabLab,ApIn-ApLo-CuNu-CuFa,Formations collectivesInitiationsAutonomie,FoCo-Au-In,  Gratuit    Payant,G-P,Enfants / JeunesAdultes / Familles,e-J-F-A,Oui,19/08/20,https://info.pingbase.net/wp-content/uploads/2018/12/LogoPiNGplus.png,47.229028,-1.584999,38 Rue du Breil 44100 Nantes,0.98,housenumber,44109_1213_00038,38,Rue du Breil,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,Regart's association,5 Rue du Gers 44100 Nantes,02 40 85 63 27,https://www.associationregartsnantes.org/,NR,NR,Cours d'informatique,InNum,NR,NR,NR,NR,NR,NR,NR,,,47.210419,-1.596415,5 Rue du Corps de Garde 44100 Nantes,0.6,housenumber,44109_2190_00005,5,Rue du Corps de Garde,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44110,44,Loire-Atlantique,ACIAH - Accessibilité Communication Information Accompagnement du Handicap,3 avenue de la Fraternité  44110 Châteaubriant et seize communes du territoire ,09 77 81 55 98 ,https://aciah-formations-informatiques-pour-tous.fr ,POIRAUD Bernadette ,equipe-advl@laposte.net, Prise en main du matériel Prise en main des logiciels de base Premiers pas sur internet Démarches administratives en ligne Approfondissement logiciels Approfondissement internet,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn, Formations collectives Initiations Accompagnements collectifs Accompagnements individuels Autonomie,FoCo-In-AcCo-AcIn-Au,Gratuit Payant APTIC,G-P-A, Tous publics  Adultes / Familles Seniors,Tp-Af-S,Oui,23/12/2020,https://aciah-formations-informatiques-pour-tous.fr/IMG/siteon0.png ,47.709934,-1.386966,3 Avenue de la Fraternité 44110 Châteaubriant,0.58,housenumber,44036_0633_00003,3,Avenue de la Fraternité,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44110,44,Loire-Atlantique,Bibliothèque de Soudan,Rue Julien Masson 44110 Soudan,02 40 07 74 51,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,80€ hors commune,P,NR,NR,NR,,,47.736728,-1.30285,Rue Julien Masson 44110 Soudan,0.95,street,44199_0670,,Rue Julien Masson,,44110,Soudan,"44, Loire-Atlantique, Pays de la Loire",44199,,,
44110,44,Loire-Atlantique,Bibliothèque de Villepot,Rue de la Chapelle 44110 Villepot,02 40 28 10 39,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.774508,-1.276894,Rue de la Chapelle 44110 Villepot,0.95,street,44218_0023,,Rue de la Chapelle,,44110,Villepot,"44, Loire-Atlantique, Pays de la Loire",44218,,,
44110,44,Loire-Atlantique,Bibliotheque Louisfert,4 Rue de la République 44110 Louisfert,02 40 81 31 83,https://castelbriantais.e-sezhame.fr/node/content/nid/14403,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,,,NR,NR,NR,,,47.676502,-1.434035,4 Rue de la République 44110 Louisfert,0.95,housenumber,44085_0255_00004,4,Rue de la République,,44110,Louisfert,"44, Loire-Atlantique, Pays de la Loire",44085,,,
44110,44,Loire-Atlantique,Bibliothèque Noyal-sur-Brutz,5 Rue des Troènes 44110 Noyal-sur-Brutz,02 40 28 09 58,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,,47.77471,-1.342405,5 Rue des Troènes 44110 Noyal-sur-Brutz,0.95,housenumber,44112_0180_00005,5,Rue des Troènes,,44110,Noyal-sur-Brutz,"44, Loire-Atlantique, Pays de la Loire",44112,,,
44110,44,Loire-Atlantique,Blibliothèque Erbray,4 Rue du Rocher 44110 Erbray,02 40 28 35 32,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.655525,-1.318018,4 Rue du Rocher 44110 Erbray,0.96,housenumber,44054_0613_00004,4,Rue du Rocher,,44110,Erbray,"44, Loire-Atlantique, Pays de la Loire",44054,,,
44110,44,Loire-Atlantique,Médiathèque Chateaubriant,6 Place Saint-Nicolas 44110 Châteaubriant,02 40 81 03 33,http://www.mairie-chateaubriant.fr/mediatheque-intercommunale/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,6€ pour les résidents hors communauté de communes Carte pass plus :- Pour les résidents de communauté de communes (tarif réduit 12€ / tarif normal 18€)-Pour les résidents hors communautés de communes (tarif réduit 18€ / tarif normal 24€),CondP,NR,NR,NR,,,47.719159,-1.376855,6 Place Saint-nicolas 44110 Châteaubriant,0.96,housenumber,44036_1430_00006,6,Place Saint-nicolas,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44110,44,Loire-Atlantique,Pôle emploi Châteaubriant,10 Rue d'Ancenis 44110 Châteaubriant,39 46,https://www.pole-emploi.fr/annuaire/chateaubriant-44036,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.717716,-1.370852,10 Rue d'Ancenis 44110 Châteaubriant,0.97,housenumber,44036_0030_00010,10,Rue d'Ancenis,,44110,Châteaubriant,"44, Loire-Atlantique, Pays de la Loire",44036,,,
44117,44,Loire-Atlantique,Bibliothèque de saint-André-des-Eaux,Rue des Guifettes 44117 Saint-André-des-Eaux,02 51 10 62 64,http://bibliotheque.saint-andre-des-eaux.fr,A côté du terrain de football,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.31954,-2.30457,Rue des Guifettes 44117 Saint-André-des-Eaux,0.95,street,44151_0065,,Rue des Guifettes,,44117,Saint-André-des-Eaux,"44, Loire-Atlantique, Pays de la Loire",44151,,,
44119,44,Loire-Atlantique,CCAS Grandchamp des fontaines,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,02 40 77 13 26,http://www.grandchampdesfontaines.fr/mairie/services-municipaux-1999/ccas-301.html?cHash=f7a91b93291d711ac66f686a531a2273,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.364335,-1.60597,25 Avenue du Général de Gaulle 44119 Grandchamps-des-Fontaines,0.96,housenumber,44066_0140_00025,25,Avenue du Général de Gaulle,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44119,44,Loire-Atlantique,Maison de l'emploi Grandchamp-des-fontaines,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,02 51 12 10 94,http://www.cceg.fr/annuaire-des-structures-192/maison-de-l-emploi-et-de-la-formation-grandchamp-des-fontaines-85.html?cHash=f1888d85829b12fa37a18e7e73806223,NR,NR,Lieu de formation lié l'emploi.,DeAd,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.36365,-1.607099,1 Rue des Cèdres 44119 Grandchamps-des-Fontaines,0.96,housenumber,44066_0015_00001,1,Rue des Cèdres,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44119,44,Loire-Atlantique,Médiathèque de Grandchamp des fontaines,Rue de Curette 44119 Grandchamps-des-Fontaines,02 49 62 39 70,http://www.grandchampdesfontaines.fr/culture-sports-loisirs/culture/mediatheque-victor-hugo-2057.html,NR,NR,Espace documentaire et point d'accès numérique.,LeAc,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Gratuit,G,NR,NR,NR,,,47.365719,-1.617794,Rue de Curette 44119 Grandchamps-des-Fontaines,0.96,street,44066_0026,,Rue de Curette,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44119,44,Loire-Atlantique,Solidarité Emploi ,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,02 51 12 10 94,http://solidarite-emploi44.fr/index.php,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,NR,NR,NR,NR,NR,,,47.363957,-1.607023,2 Rue des Cèdres 44119 Grandchamps-des-Fontaines,0.96,housenumber,44066_0015_00002,2,Rue des Cèdres,,44119,Grandchamps-des-Fontaines,"44, Loire-Atlantique, Pays de la Loire",44066,,,
44120,44,Loire-Atlantique,Service Jeunesse,2 Place Saint-Martin  44120 Vertou,02 40 34 43 00,http://www.vertou.fr/fr/information/111972/jeunesse-11-21ans,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,12/01/2021,,47.167944,-1.473317,2 Place Saint-martin 44120 Vertou,0.96,housenumber,44215_1615_00002,2,Place Saint-martin,,44120,Vertou,"44, Loire-Atlantique, Pays de la Loire",44215,,,
44130,44,Loire-Atlantique,"Bibliothèque municipale ""Le Pot a Mots""",6 place Notre-Dame du Châtellier 44310 Saint-Lumine-de-Coutais,02 40 02 94 56,https://www.mobilis-paysdelaloire.fr/annuaire/bibliotheques/bibliotheque-pot-a-mots-saint-lumine-de-coutais,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.055928,-1.726852,6 Place Notre Dame du Chatellier 44310 Saint-Lumine-de-Coutais,0.95,housenumber,44174_7hljxe_00006,6,Place Notre Dame du Chatellier,,44310,Saint-Lumine-de-Coutais,"44, Loire-Atlantique, Pays de la Loire",44174,,,
44130,44,Loire-Atlantique,Centre Socioculturel TEMPO,7 rue du 11 novembre 44130 Blain,02 40 87 12 58,http://csctempo.fr/,Thomas JAMMERNEGG,thomas@csctempo.fr,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsAccompagnements collectifsAutonomie,In-AcCo-Au,Gratuit,G ,Tout public,Tp,Non,16/10/2020,http://csctempo.fr/wp-content/uploads/2018/09/bandeau-7.png,47.476321,-1.763342,7 Rue du 11 Novembre 44130 Blain,0.96,housenumber,44015_0493_00007,7,Rue du 11 Novembre,,44130,Blain,"44, Loire-Atlantique, Pays de la Loire",44015,,,
44130,44,Loire-Atlantique,Maison de l'emploi Blain,7 Rue Victor Schoelcher 44130 Blain,02 40 79 99 01,https://www.pays-de-blain.com/economie-emploi/emploi-et-formation/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.47432,-1.761281,7 Rue Victor Schoelcher 44130 Blain,0.95,housenumber,44015_0799_00007,7,Rue Victor Schoelcher,,44130,Blain,"44, Loire-Atlantique, Pays de la Loire",44015,,,
44130,44,Loire-Atlantique,Médiathèque de Fay de bretagne,2 Rue Georges Sicard 44130 Fay-de-Bretagne,02 40 87 33 65,http://www.faydebretagne.fr/jsp/site/Portal.jsp?page_id=120,Espace de lecture et point d'accès numérique.,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.415363,-1.792132,2 Rue Georges Sicard 44130 Fay-de-Bretagne,0.96,housenumber,44056_0065_00002,2,Rue Georges Sicard,,44130,Fay-de-Bretagne,"44, Loire-Atlantique, Pays de la Loire",44056,,,
44140,44,Loire-Atlantique,Point Relais Emploi,Rue de la Mairie 44140 Montbert,02 40 26 11 62,http://www.montbert.fr/point-relais-emploi/,Magali BRETIN,pointrelaisemploi-montbert@cc-grandlieu.fr,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.056715,-1.479572,Rue de la Jarrie 44140 Montbert,0.74,street,44102_0077,,Rue de la Jarrie,,44140,Montbert,"44, Loire-Atlantique, Pays de la Loire",44102,,,
44150,44,Loire-Atlantique,Bibliothèque Marcel Rouvreau,Port Arthur (Anetz) 44150 Vair-sur-Loire,02 40 83 31 95,http://bibliofil.pays-ancenis.fr/,Accès à un point numérique.,NR,NR,NR,NR,NR,gratuit,G,NR,NR,NR,,,47.377989,-1.103496,Rue de Port Arthur 44150 Vair-sur-Loire,0.69,street,44004_0060,,Rue de Port Arthur,,44150,Vair-sur-Loire,"44, Loire-Atlantique, Pays de la Loire",44163,44004,Anetz,
44150,44,Loire-Atlantique,Le Fablab Pays d’Ancenis,Allée Vicomte de Rohan 44150 Ancenis-Saint-Géréon,NR,https://www.fablabancenis.fr/,NR,contact@fablabancenis.fr,Imprimante 3D,CuFa-CuNu,NR,NR,NR,NR,NR,NR,NR,,,47.369076,-1.183967,Allee des Etangs 44150 Ancenis-Saint-Géréon,0.6,street,44003_0302,,Allee des Etangs,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44150,44,Loire-Atlantique,Mairie d'Ancenis,Place du Maréchal Foch 44150 Ancenis,02 40 83 87 00,https://www.ancenis.fr,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.365524,-1.176786,Place du Marechal Foch 44150 Ancenis-Saint-Géréon,0.75,street,44003_0610,,Place du Marechal Foch,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44150,44,Loire-Atlantique,Maison de l'Etat,Rue du Docteur Bousseau 44150 Ancenis,02 40 83 08 50,http://www.loire-atlantique.gouv.fr/Services-de-l-Etat/Prefecture-et-sous-prefectures/Sous-prefecture-de-Chateaubriant-Ancenis,NR,NR,Démarches administratives en ligneConseils,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,gratuit,G,NR,NR,NR,,,47.364033,-1.18475,Rue du Docteur Bousseau 44150 Ancenis-Saint-Géréon,0.75,street,44003_resphg,,Rue du Docteur Bousseau,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44150,44,Loire-Atlantique,Médiathèque Ancenis,Place de la République 44150 Ancenis,02 40 83 22 30,https://bibliofil.pays-ancenis.com/,NR,NR,Médiathèque qui propose l'emprunt ou la lecture sur place de divers supports culturels + accompagnement individuel sur demande des personnes,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,13/01/2021,,47.365388,-1.182721,Place de la Republique 44150 Ancenis-Saint-Géréon,0.75,street,44003_0800,,Place de la Republique,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44150,44,Loire-Atlantique,Mission locale d'Ancenis,30 Place Francis Robert 44150 Ancenis,02 40 96 44 30,http://www.missionlocalepaysancenis.fr/,NR,accueil@mlpaysancenis.fr,Démarches administratives en ligneConseils,LeAc-PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,jeunes 16/25 ans / réside dans le pays d’Ancenis,CondP,NR,NR,NR,,,47.370095,-1.178797,30 Avenue Francis Robert 44150 Ancenis-Saint-Géréon,0.62,housenumber,44003_0320_00030,30,Avenue Francis Robert,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
44150,44,Loire-Atlantique,Point Info Mobile,19 Rue Général Leclerc 44510 Le Pouliguen,02 40 42 31 05,http://www.tourisme-lepouliguen.fr/wifi-au-pouliguen.html,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,Gratuit,G,NR,NR,NR,,,47.278353,-2.429486,19 Rue Général Leclerc 44510 Le Pouliguen,0.96,housenumber,44135_0530_00019,19,Rue Général Leclerc,,44510,Le Pouliguen,"44, Loire-Atlantique, Pays de la Loire",44135,,,
44150,44,Loire-Atlantique,Point relais emploi de Vallet,1 Place Charles de Gaulle 44330 Vallet,02 51 71 92 12,NR,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.160905,-1.26543,1 Place Charles de Gaulle 44330 Vallet,0.96,housenumber,44212_0300_00001,1,Place Charles de Gaulle,,44330,Vallet,"44, Loire-Atlantique, Pays de la Loire",44212,,,
44150,44,Loire-Atlantique,Pôle emploi Ancenis,336 Rue de Chateaubriand 44150 Ancenis,3949,https://www.pole-emploi.fr/accueil/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,Accompagnements individuelsAutonomie,AcIn-Au,gratuit,G,NR,NR,NR,,,47.377984,-1.181473,336 Rue Francois Rene Chateaubriand 44150 Ancenis-Saint-Géréon,0.67,housenumber,44003_0795_00336,336,Rue Francois Rene Chateaubriand,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
